Accession,CometFullSeqSubtype,CometPerGeneSubtype,FullSeqSubtype,PerGeneSubtype,GenBankSubtype,PresentMethodCount,BlankMethods,DistinctSubtypeCount,SubtypesObserved,AgreementStatus
MW205378,4V,4V,4Q,4Q,4L,5,,3,4L;4Q;4V,AllFiveDisagree
MW205379,4V,4V,4L,4V,4P,5,,3,4L;4P;4V,AllFiveDisagree
MW205380,4V,4V,4Q,4P,,4,GenBank,3,4P;4Q;4V,AvailableCallsDisagree
MW205384,4V,4V,4Q,4V,4O,5,,3,4O;4Q;4V,AllFiveDisagree
MW205385,4V,4V,4V,4V,4O,5,,2,4O;4V,AllFiveDisagree
MW205386,4A,4A,4C,4C,4C,5,,2,4A;4C,AllFiveDisagree
MW205388,4A,4A,4C,4C,4R,5,,3,4A;4C;4R,AllFiveDisagree
MW205390,4A,4A,4C,4C,4C,5,,2,4A;4C,AllFiveDisagree
MW205396,4K,4G,4G,4G,4H,5,,3,4G;4H;4K,AllFiveDisagree
MW205397,4K,4K,4L,4D,4H,5,,4,4D;4H;4K;4L,AllFiveDisagree
MW205398,4R,4R,4K,4V,4H,5,,4,4H;4K;4R;4V,AllFiveDisagree
MW205415,4D,4D,6F,6F,6F,5,,2,4D;6F,AllFiveDisagree
MW205416,1L,1L,4D,4D,,4,GenBank,2,1L;4D,AvailableCallsDisagree
MW205436,2J,2J,2I,2I,,4,GenBank,2,2I;2J,AvailableCallsDisagree
MW205437,2J,2J,2I,2I,,4,GenBank,2,2I;2J,AvailableCallsDisagree
MW205438,2J,2J,2I,2I,,4,GenBank,2,2I;2J,AvailableCallsDisagree
MW205439,2J,2A,2V,2V,,4,GenBank,3,2A;2J;2V,AvailableCallsDisagree
MW205440,2A,2A,2U,2U,,4,GenBank,2,2A;2U,AvailableCallsDisagree
MW205441,2A,2A,2I,2I,,4,GenBank,2,2A;2I,AvailableCallsDisagree
MW205442,2J,2J,2D,2D,,4,GenBank,2,2D;2J,AvailableCallsDisagree
MW205443,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205445,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
MW205450,2J,2J,2I,2I,,4,GenBank,2,2I;2J,AvailableCallsDisagree
MW205452,2C,2C,2C,2C,2O,5,,2,2C;2O,AllFiveDisagree
MW205453,2C,2C,2C,2C,2O,5,,2,2C;2O,AllFiveDisagree
MW205456,2A,2A,2F,2F,,4,GenBank,2,2A;2F,AvailableCallsDisagree
MW205457,2B,2B,2Q,2Q,2D,5,,3,2B;2D;2Q,AllFiveDisagree
MW205458,2J,2J,2F,2F,2F,5,,2,2F;2J,AllFiveDisagree
MW205459,2A,2A,2F,2F,2F,5,,2,2A;2F,AllFiveDisagree
MW205460,2A,2A,2F,2F,2P,5,,3,2A;2F;2P,AllFiveDisagree
MW205461,2A,2A,2I,2I,2P,5,,3,2A;2I;2P,AllFiveDisagree
MW205462,2J,2J,2Q,2Q,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
MW205463,2A,2A,2U,2U,,4,GenBank,2,2A;2U,AvailableCallsDisagree
MW205464,2A,2A,2Q,2Q,,4,GenBank,2,2A;2Q,AvailableCallsDisagree
MW205465,2A,2A,2I,2I,,4,GenBank,2,2A;2I,AvailableCallsDisagree
MZ327743,"UNASSIGNED_1, 1A-1B","UNASSIGNED_1, 1B-1A",1A,1A,1A,5,,3,"1A;UNASSIGNED_1, 1A-1B;UNASSIGNED_1, 1B-1A",AllFiveDisagree
ON506802,1B,1B,1B,1B,2K,5,,2,1B;2K,AllFiveDisagree
ON314812,2K,2J,2Q,2Q,,4,GenBank,3,2J;2K;2Q,AvailableCallsDisagree
ON314813,2K,2K,2K,2F,,4,GenBank,2,2F;2K,AvailableCallsDisagree
ON314815,2J,2J,2Q,2Q,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
ON314816,2J,2J,2D,2J,,4,GenBank,2,2D;2J,AvailableCallsDisagree
ON314817,2K,2J,2Q,2Q,,4,GenBank,3,2J;2K;2Q,AvailableCallsDisagree
ON314818,2K,2K,2K,2U,,4,GenBank,2,2K;2U,AvailableCallsDisagree
ON314820,2J,2Q,2Q,2Q,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
ON314821,2J,2C,2D,2Q,,4,GenBank,4,2C;2D;2J;2Q,AvailableCallsDisagree
ON314822,2K,2Q,2Q,2Q,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
ON314823,2J,2A,2Q,2Q,,4,GenBank,3,2A;2J;2Q,AvailableCallsDisagree
ON314824,2Q,2J,2Q,2Q,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
ON314825,2J,2J,2Q,2Q,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
ON314826,2J,2Q,2C,2Q,,4,GenBank,3,2C;2J;2Q,AvailableCallsDisagree
PQ365513,3A,3A,3D,3D,3D,5,,2,3A;3D,AllFiveDisagree
PQ365524,3A,3A,3E,3E,3E,5,,2,3A;3E,AllFiveDisagree
MT633133,3A,3A,7B,7B,7B,5,,2,3A;7B,AllFiveDisagree
MT893908,4A,4A,4C,4C,4C,5,,2,4A;4C,AllFiveDisagree
MT893909,4A,4C,4C,4C,4C,5,,2,4A;4C,AllFiveDisagree
MT893912,4A,4A,4C,4C,4C,5,,2,4A;4C,AllFiveDisagree
MW041294,2J,2J,2C,2E,,4,GenBank,3,2C;2E;2J,AvailableCallsDisagree
MW041295,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW041296,2J,2J,2C,2Q,,4,GenBank,3,2C;2J;2Q,AvailableCallsDisagree
MW041297,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW041298,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW041299,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MN628580,1A,1A,1A,1A,3A,5,,2,1A;3A,AllFiveDisagree
MN628581,3A,3A,3A,3A,1A,5,,2,1A;3A,AllFiveDisagree
MN641932,4D,4D,1D,1D,,4,GenBank,2,1D;4D,AvailableCallsDisagree
MN641972,4D,4D,1A,1A,,4,GenBank,2,1A;4D,AvailableCallsDisagree
MT151161,1B,1B,1N,1N,1N,5,,2,1B;1N,AllFiveDisagree
MT151162,4F,4F,4G,4G,,4,GenBank,2,4F;4G,AvailableCallsDisagree
MT151165,2J,2J,2R,2R,2J,5,,2,2J;2R,AllFiveDisagree
MT151171,2J,2J,2U,2U,2U,5,,2,2J;2U,AllFiveDisagree
