Accession,PerGeneSubtype,FullGenomeSubtype,CometPerGeneSubtype,CometFullGenomeSubtype,GenBankSubtype,PresentMethodCount,BlankMethods,DistinctSubtypeCount,SubtypesObserved,AgreementStatus
MZ327730,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327731,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327732,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327733,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327734,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327735,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327736,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327737,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327738,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327739,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327740,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327741,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327742,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327743,1A,1A,"UNASSIGNED_1, 1A-1B","UNASSIGNED_1, 1A-1B",1A,5,,2,"1A;UNASSIGNED_1, 1A-1B",AllFiveDisagree
MZ327744,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327745,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327746,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327747,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327748,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327749,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327750,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327751,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327752,4D,4D,4D,4D,4D,5,,1,4D,AllFiveAgree
MZ327753,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MZ327754,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327755,2B,2B,2B,2B,2B,5,,1,2B,AllFiveAgree
MZ327756,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327757,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327758,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327759,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327760,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327761,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327762,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327763,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327764,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327765,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327766,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327767,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327768,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327769,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MZ327770,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327771,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327772,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327773,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327774,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MZ327775,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MZ327776,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327777,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327778,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327779,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327780,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
