Accession,AssignedGenotype,Subtype7aDistance,Subtype7bDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MT633134,7,26.367,13.957,7b,13.957,7a,26.367
MK438076,7,31.250,29.775,7a,31.250,7b,29.775
MK438240,7,30.952,,7a,30.952,,
MK438400,7,27.985,31.156,7a,27.985,7b,31.156
MK438626,7,29.392,31.687,7a,29.392,7b,31.687
MK438853,7,30.272,32.673,7a,30.272,7b,32.673
MK439147,7,32.993,,7a,32.993,,
MK439177,7,29.740,,7a,29.740,,
MK439365,7,28.671,31.188,7a,28.671,7b,31.188
MG453347,7,27.974,18.507,7b,18.507,7a,27.974
MG454456,7,28.387,,7a,28.387,,
MH192281,7,27.778,,7a,27.778,,
MH298133,7,28.523,29.321,7b,29.321,7a,28.523
MH298134,7,28.618,26.667,7a,28.618,7b,26.667
MH298138,7,28.115,28.793,7b,28.793,7a,28.115
MH298141,7,27.213,25.385,7a,27.213,7b,25.385
MH298142,7,28.344,29.880,7a,28.344,7b,29.880
MH298145,7,30.671,,7a,30.671,,
MH298152,7,27.124,26.911,7b,26.911,7a,27.124
MH298153,7,29.043,29.755,7b,29.755,7a,29.043
MH298156,7,27.778,31.498,7a,27.778,7b,31.498
MH298164,7,27.508,26.882,7b,26.882,7a,27.508
MH298184,7,26.948,27.726,7b,27.726,7a,26.948
MH298186,7,27.129,26.360,7a,27.129,7b,26.360
MH940291,7,13.766,27.858,7a,13.766,7b,27.858
MH940292,7,29.217,12.202,7b,12.202,7a,29.217
D17494,7,27.852,30.804,7a,27.852,7b,30.804
DQ155526,7,27.517,30.198,7a,27.517,7b,30.198
DQ155551,7,27.946,32.308,7a,27.946,7b,32.308
EF108306,7,0.000,28.903,7a,0.000,7b,28.903
EF116201,7,27.707,12.963,7b,12.963,7a,27.707
EF175837,7,23.973,30.556,7a,23.973,7b,30.556
EU127994,7,27.476,28.736,7a,27.476,7b,28.736
AB027608,7,30.068,,7a,30.068,,
AY434115,7,0.294,30.915,7a,0.294,7b,30.915
HE580377,7,28.197,,7a,28.197,,
HE580380,7,30.375,,7a,30.375,,
HM172593,7,29.243,34.204,7a,29.243,7b,34.204
HM172597,7,29.534,30.137,7a,29.534,7b,30.137
GU049364,7,31.596,,7a,31.596,,
JX102881,7,28.620,31.418,7a,28.620,7b,31.418
JX103085,7,30.519,,7a,30.519,,
KJ470298,7,26.269,33.952,7a,26.269,7b,33.952
KP324204,7,27.513,31.907,7a,27.513,7b,31.907
KX789412,7,27.915,11.604,7b,11.604,7a,27.915
KY569753,7,29.961,32.075,7a,29.961,7b,32.075
KU861171,7,26.014,28.538,7a,26.014,7b,28.538
KX092342,7,28.499,0.000,7b,0.000,7a,28.499
KX172138,7,28.555,16.443,7b,16.443,7a,28.555
